# deck: Portuguese::Frequency Master
# notetype: Portuguese (EP) – Frequency
# separator: Tab
Rank	Lemma_PT	POS	Gloss_EN	Variety	Register_Flags	Range_Blocks	Raw_Freq	Example_PT	Example_EN	Freq_Band	Thematic_Source	Tags
138	parecer	v	to seem	EP				quem me conhece sabe que sou católico	• por incrível que pareça, é um cara que tem Those who know me, know that I am muita força – As incredible as it seems, he is Catholic. areally strong guy. 100 | 10373 100 | 12577 16	0001-0500		freq::0001-0500 freq500::0001-0500 freq1000::0001-0500 pos::verb
139	pequeno	aj	small	EP						0001-0500		freq::0001-0500 freq500::0001-0500 freq1000::0001-0500 pos::aj
141	nada	pn	nothing 100 | 8920 +s	EP				não te posso dizer mais nada. Já falei demais		0001-0500		freq::0001-0500 freq500::0001-0500 freq1000::0001-0500 pos::pn
142	português	na	Portuguese 100 | 11079	EP				os idiomas falados em Cabo Verde são o		0001-0500		freq::0001-0500 freq500::0001-0500 freq1000::0001-0500 pos::na
143	filho	nm	son, children (PL)	EP				ele casou duas vezes e teve mais de 20 filhos 100 | 11490	Hemarried twice and had more than 20	0001-0500		freq::0001-0500 freq500::0001-0500 freq1000::0001-0500 pos::noun.masc
144	tornar	v	to become, turn into of the year you can neither enter nor leave	EP				apartir de certa altura tudo se tornou um Rome. pouco mais difícil	After a certain point, 100 | 11004 +s everything became a little more difficult.	0001-0500		freq::0001-0500 freq500::0001-0500 freq1000::0001-0500 pos::verb
145	água	nf	water 100 | 9098	EP				vá buscar o remédio dela e um copo d’água		0001-0500		freq::0001-0500 freq500::0001-0500 freq1000::0001-0500 pos::noun.fem
146	direito	na	right, law you finish your course of study.	EP				num país onde não querem defender os 100 | 9609 meus direitos, não quero viver	Idon’t want to live in a country that doesn’t want to	0001-0500		freq::0001-0500 freq500::0001-0500 freq1000::0001-0500 pos::na
147	público	na	public 100 | 12284	EP				obrigado a ceder à pressão da opinião pública, o político concordou	Obliged to	0001-0500		freq::0001-0500 freq500::0001-0500 freq1000::0001-0500 pos::na
148	entrar	v	to come in, enter	EP						0001-0500		freq::0001-0500 freq500::0001-0500 freq1000::0001-0500 pos::verb
149	problema	nm	problem	EP						0001-0500		freq::0001-0500 freq500::0001-0500 freq1000::0001-0500 pos::noun.masc
150	viver	v	tolive	EP				não só de pão vive o homem	Man does	0001-0500		freq::0001-0500 freq500::0001-0500 freq1000::0001-0500 pos::verb
151	além	av	beyond, in addition to 100 | 9480	EP				os ligamentos auxiliam na firmeza das juntas, além da manutenção da estrutura		0001-0500		freq::0001-0500 freq500::0001-0500 freq1000::0001-0500 pos::av
152	pôr	v	toput, place	EP				ele alargava o seu pequeno círculo de • amãezinha põe o vestido bonito	amizades – He widened his small circle of The young mother put on a beautiful friends. outfit. 100 | 10273 100 | 10395 +s 140 quanto aj/av how much	0001-0500		freq::0001-0500 freq500::0001-0500 freq1000::0001-0500 pos::verb
153	história	nf	story, history	EP				quanto tempo se terá passado?	How • agente antiga gostava de contar histórias de much time has passed? valentia – Ancient people liked to tell stories 100 | 9464 [AV] of bravery.	0001-0500		freq::0001-0500 freq500::0001-0500 freq1000::0001-0500 pos::noun.fem
154	grupo	nm	group –Ican tell you nothing more. I’ve already	EP				ogrupo tem à frente a cantora Ivete Sangalo said too much.	The group has, as lead singer, Ivete 100 | 13233 +s Sangalo.	0001-0500		freq::0001-0500 freq500::0001-0500 freq1000::0001-0500 pos::noun.masc
155	hora	nf	hour português e o crioulo – The languages spoken	EP				avelocidade máxima atingida pelo veículo inCape Verde are Portuguese and creoles. era de cinco quilômetros por hora	The 100 | 11294 maximum velocity reached by the vehicle was 5kilometers per hour.	0001-0500		freq::0001-0500 freq500::0001-0500 freq1000::0001-0500 pos::noun.fem
156	sair	v	to leave children.	EP				durante esta época do ano não se pode 100 | 10419 entrar nem sair de Roma	During this time	0001-0500		freq::0001-0500 freq500::0001-0500 freq1000::0001-0500 pos::verb
157	acabar	v	to finish, end up 100 | 11804	EP				aguerra acabou	The war ended.	0001-0500		freq::0001-0500 freq500::0001-0500 freq1000::0001-0500 pos::verb
158	continuar	v	to continue –Go get her medicine and a glass of water.	EP				deverão continuar até terminar o seu plano 100 | 9867 de estudos	You should all continue until	0001-0500		freq::0001-0500 freq500::0001-0500 freq1000::0001-0500 pos::verb
159	tão	av	so, as defend my rights.	EP				aidéia era tão avançada que eu não conseguia entender	The idea was so 100 | 9934 advanced that I couldn’t understand it.	0001-0500		freq::0001-0500 freq500::0001-0500 freq1000::0001-0500 pos::av
160	nunca	av	never concede to the pressure of public opinion, the	EP				nunca consigo prever nada	Ican never politician agreed. predict anything. 100 | 11834 100 | 10786	0001-0500		freq::0001-0500 freq500::0001-0500 freq1000::0001-0500 pos::av
161	dentro	av	within, in, inside	EP				mil perdões por eu entrar na sua casa tão • há divisões dentro da própria organização	tarde – Athousand pardons for coming into There are divisions within the organization your house so late. itself. 100 | 10294 100 | 8821	0001-0500		freq::0001-0500 freq500::0001-0500 freq1000::0001-0500 pos::av
162	voltar	v	to return	EP				oproblema é mais grave	The problem is • quando voltou para casa, fechou-se no worse. quarto – When he returned home, he shut 100 | 9974 +s himself in his room. 99 | 11078	0001-0500		freq::0001-0500 freq500::0001-0500 freq1000::0001-0500 pos::verb
163	tomar	v	to take (possession of), drink not live by bread alone.	EP				ele tomou o poder pela primeira vez através 100 | 9496 de um golpe militar	He took power for the first time through a military coup.	0001-0500		freq::0001-0500 freq500::0001-0500 freq1000::0001-0500 pos::verb
164	obra	nf	work, project Besides helping to connect the joints,	EP				as estátuas de Buda são obras notáveis na ligaments also help hold up the bone arte japonesa	Statues of Buddha are structure. notable works of Japanese art. 100 | 9823 100 | 10843 2.Body mão 212 F hand pescoço 2065 M neck lábio 4064 M lip cabeça 266 F head peito 2119 M chest, breast testa 4116 F forehead pé 357 M foot ombro 2525 M shoulder artéria 4139 F artery olho 376 M eye orelha 2596 F ear punho 4527 M fist, wrist língua 530 F tongue músculo 2741 M muscle esqueleto 4565 M skeleton (language) nariz 2795 M nose rim 4574 M kidney sangue 662 M blood joelho 2799 M knee face 666 F face, surface nervo 2901 M nerve crânio 4995 M skull coração 768 M heart pulmão 3025 M lung intestino 5032 M intestine boca 796 F mouth estômago 3133 M stomach bigode 5197 M moustache perna 874 F leg barba 3247 F beard bexiga 5305 F bladder braço 959 M arm barriga 3324 F belly, costela 5489 F rib pele 1014 F skin stomach cotovelo 5827 M elbow dedo 1324 M finger unha 3401 F fingernail queixo 5975 M chin dente 1496 M tooth colo 3427 M lap útero 6066 M uterus cabelo 1516 M hair pêlo 3468 M fur nuca 6158 F back of neck osso 1673 M bone cintura 3556 F waist calcanhar 6356 M heel rosto 1729 M face garganta 3586 F throat mente 1766 F mind fígado 3648 M liver tornozelo 6527 M ankle seio 1944 M bosom coxa 3959 F thigh tórax 6539 M thorax cérebro 1960 M brain ventre 4032 M womb lombo 6548 M lower back	0001-0500		freq::0001-0500 freq500::0001-0500 freq1000::0001-0500 pos::noun.fem
165	facto	nm	fact	EP						0001-0500		freq::0001-0500 freq500::0001-0500 freq1000::0001-0500 pos::noun.masc
166	ponto	nm	point, dot, period 99 | 10286	EP				énesse ponto de vista que se baseia este trabalho	It is on this point of view that this	0001-0500		freq::0001-0500 freq500::0001-0500 freq1000::0001-0500 pos::noun.masc
167	trabalhar	v	to work development.	EP				opresidente trabalha com um comité	The president works with a committee. 100 | 8061 +s 100 | 7910 +s	0001-0500		freq::0001-0500 freq500::0001-0500 freq1000::0001-0500 pos::verb
168	fim	nm	purpose, end considerava minuciosamente cada feição –	EP				não será o fimdo mundo	It won’t be the While washing his hands, he looked in the end of the world. mirror and carefully considered each 100 | 9072 expression.	0001-0500		freq::0001-0500 freq500::0001-0500 freq1000::0001-0500 pos::noun.masc
169	quase	av	almost 100 | 10287	EP				era a hora do almoço e a loja estava quase deserta	It was lunch time and the store was	0001-0500		freq::0001-0500 freq500::0001-0500 freq1000::0001-0500 pos::av
170	pai	nm	father, parents (PL) 100 | 8141 +s	EP				ele subiu ao trono, sucedendo a seu pai, em 1621	He assumed the throne, succeeding	0001-0500		freq::0001-0500 freq500::0001-0500 freq1000::0001-0500 pos::noun.masc
171	apresentar	v	to introduce, present	EP				quero lhe apresentar uma pessoa que, em		0001-0500		freq::0001-0500 freq500::0001-0500 freq1000::0001-0500 pos::verb
172	relação	nf	relation	EP				ele negou todos os factos	He denied all the • as relações entre espécies num ecossistema facts. são geralmente complexas – The relations 100 | 8680 +s between species in an ecosystem are generally complex.	0001-0500		freq::0001-0500 freq500::0001-0500 freq1000::0001-0500 pos::noun.fem
173	criar	v	to create work is based.	EP				anossa preocupação é criar condições de 99 | 9146 desenvolvimento sustentado	Our concern is in creating conditions for sustained	0001-0500		freq::0001-0500 freq500::0001-0500 freq1000::0001-0500 pos::verb
174	considerar	v	to consider	EP				ao lavar as mãos ele olhava-se no espelho e		0001-0500		freq::0001-0500 freq500::0001-0500 freq1000::0001-0500 pos::verb
175	momento	nm	moment almost deserted.	EP				agora é o momento decisivo, o governo tem de aprovar	Now is the decisive moment; 100 | 9618 the government has to approve it.	0001-0500		freq::0001-0500 freq500::0001-0500 freq1000::0001-0500 pos::noun.masc
176	receber	v	to receive his father in 1621.	EP				ele recebeu um carro como presente	He 100 | 10042 received a car as a present. 100 | 9108	0001-0500		freq::0001-0500 freq500::0001-0500 freq1000::0001-0500 pos::verb
177	ideia	nf	idea breve, estará connosco – Iwant to introduce	EP				tive uma ideia que me pareceu boa	Ihad you to a person that will be with us shortly. an idea that seemed good to me. 100 | 12129 100 | 7702 +s 18	0001-0500		freq::0001-0500 freq500::0001-0500 freq1000::0001-0500 pos::noun.fem
178	política	nf	politics	EP						0001-0500		freq::0001-0500 freq500::0001-0500 freq1000::0001-0500 pos::noun.fem
179	vários	aj	various, many	EP				ele foi recebido e tratado com respeito • oproblema pode ser encarado de várias devido a ser pessoa de importância	He maneiras – The problem can be faced in was received and treated with respect many ways. because he is an important person. 100 | 9434 100 | 7372	0001-0500		freq::0001-0500 freq500::0001-0500 freq1000::0001-0500 pos::aj
180	lugar	nm	place	EP						0001-0500		freq::0001-0500 freq500::0001-0500 freq1000::0001-0500 pos::noun.masc
181	sentir	v	tofeel	EP						0001-0500		freq::0001-0500 freq500::0001-0500 freq1000::0001-0500 pos::verb
181	•	na	opinião de especialistas, isso conduzirá a	EP						0001-0500		freq::0001-0500 freq500::0001-0500 freq1000::0001-0500 pos::na
182	livro	nm	book	EP				agora ele está a ler um livro sobre a Guerra		0001-0500		freq::0001-0500 freq500::0001-0500 freq1000::0001-0500 pos::noun.masc
183	nós	pn	we, us (OBJ = nos)	EP						0001-0500		freq::0001-0500 freq500::0001-0500 freq1000::0001-0500 pos::pn
184	mês	nm	month	EP				ovolume de crisântemos intensifica-se nos		0001-0500		freq::0001-0500 freq500::0001-0500 freq1000::0001-0500 pos::noun.masc
185	alto	na	tall, high, top	EP				sem autorização, não se pode usar o nome • omonte Evereste é a montanha mais alta do alheio	Without authorization, you cannot mundo – Mount Everest is the highest use another person’s name. mountain in the world. 100 | 7102 99 | 9362	0001-0500		freq::0001-0500 freq500::0001-0500 freq1000::0001-0500 pos::na
186	força	nf	force, power, strength	EP				eles consideravam que o prazer constituía a • no entanto, recusou a desarmar as forças única coisa absolutamente valiosa	They militares da organização – Nevertheless, he believed that pleasure constituted the only refused to disarm the military forces of the absolutely valuable thing. organization. 99 | 7651 100 | 8419	0001-0500		freq::0001-0500 freq500::0001-0500 freq1000::0001-0500 pos::noun.fem
187	acontecer	v	to happen, occur	EP				ele trabalhou para oito presidentes e • oque acha que vai acontecer?	What do nenhum o demitiu – He worked for eight you think will happen? presidents and none of them fired him. 100 | 7271 +s 100 | 6908 +s	0001-0500		freq::0001-0500 freq500::0001-0500 freq1000::0001-0500 pos::verb
188	família	nf	family	EP						0001-0500		freq::0001-0500 freq500::0001-0500 freq1000::0001-0500 pos::noun.fem
189	tipo	nm	type, like	EP				desta forma, pode distinguir-se dois tipos de		0001-0500		freq::0001-0500 freq500::0001-0500 freq1000::0001-0500 pos::noun.masc
190	presidente	nm	president 100 | 10129 +n	EP				alei foi aprovada pelo senado, e o presi- dente teve que a aprovar também	The law	0001-0500		freq::0001-0500 freq500::0001-0500 freq1000::0001-0500 pos::noun.masc
191	mil	num	thousand	EP				não sei nada de política, mas acho que o • amulher é mil vezes mais interessante do povo está sofrendo	Idon’t know anything que o homem – Awoman is a thousand about politics, but I think that the common times more interesting than a man people are suffering. 100 | 9991 +n 99 | 9460 +s	0001-0500		freq::0001-0500 freq500::0001-0500 freq1000::0001-0500 pos::numeral
192	tratar	v	to treat, deal with	EP						0001-0500		freq::0001-0500 freq500::0001-0500 freq1000::0001-0500 pos::verb
193	enquanto	av	while	EP				apraia tem bons lugares para fazer campismo • são aves que se alimentam enquanto voam	The beach has good places for camping. –They are birds that feed while they fly. 100 | 8070 99 | 8607	0001-0500		freq::0001-0500 freq500::0001-0500 freq1000::0001-0500 pos::av
194	perder	v	tolose	EP				sabes que me sinto completamente feliz	• temos de vencer porque não podemos You know that I feel completely happy. perder – We must win because we cannot 100 | 10554 lose. 100 | 8285	0001-0500		freq::0001-0500 freq500::0001-0500 freq1000::0001-0500 pos::verb
195	achar	v	to find, think, suppose Civil de Espanha – Now he is reading a book	EP				meu capitão, não acharemos socorro	My about the Spanish Civil War. captain, we will not find aid. 100 | 7263 +s 98 | 10806 +s	0001-0500		freq::0001-0500 freq500::0001-0500 freq1000::0001-0500 pos::verb
196	escrever	v	to write	EP				cada um de nós tem sua alma individual	• opoeta começou a escrever ainda muito Every one of us has an individual soul. jovem – The poet began to write while still 99 | 9180 +s very young. 100 | 6813 +s	0001-0500		freq::0001-0500 freq500::0001-0500 freq1000::0001-0500 pos::verb
197	quatro	num	four meses de maio, outubro e dezembro – The	EP				são quatro países-membros do Mercosul	volume of chrysanthemums increases in the There are four member countries of Mercosul. months of May, October and December. 100 | 7413 100 | 8923	0001-0500		freq::0001-0500 freq500::0001-0500 freq1000::0001-0500 pos::numeral
